company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
Prime Trust,primetrust.com,"Prime Trust is a blockchain-driven trust company that provides solutions to custody cryptocurrency while also providing various compliance solutions including the full stack of private exemptions in the US. It was founded in 2016 and is based in Las Vegas, Nevada.",Internet Software & Services,United States,169.47,"Jon Jiles (Founder), Tom Pageler (CEO), Philip LaChapelle (President), Erin Holloway (President), Eugene Lao (President), Rodrigo Vicuna (CFO), Tom Brandl (COO), Jeff Smits (CTO), Tiago Requeijo (Managing Director)","OKCoin International, Paycheck Protection Program, Ayon Capital, Commerce Ventures, Diverse Angels, Kraken Ventures, Mercato Partners, Nationwide Ventures, Nevcaut Ventures, ST Capital, Samsung NEXT, Seven Peaks Ventures, University Growth Fund, s20 Capital, Decasonic, FIS, Fin Capital, Gaingels, GateCap Ventures, William Blair & Company",,,"Blockchain, Fintech, Blockchain 50",Crypto-as-a-Service (Financial Services),Alive / Active,380222,449961,2016,,FundAmerica,,North America,Nevada,Las Vegas,330 S Rampart Blvd #260,89145,Series B,2022-06-22,100.00,Series B,"Commerce Ventures, Decasonic, FIS, Fin Capital, Gaingels, GateCap Ventures, Kraken Ventures, Mercato Partners, Seven Peaks Ventures, University Growth Fund, William Blair & Company",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Parallel,parallel.life,Parallel is a sci-fi card game based on the Ethereum blockchain.,Internet Software & Services,Canada,50.00,"Sascha Mojtahedi (Founder), Kian Marandi (Founder), Paul Chan (COO)","Paradigm, Focus Labs, OSS Capital, Yunt Captial, Chad Hurley",,,Blockchain,,Alive / Active,687930,801996,,,,,North America,Ontario,Markham,19 Sage Brush St.,,Unattributed VC,2021-10-21,50.00,Venture Capital,Paradigm,,,,,,,,,Internet,Gaming,,,,Yes
ThunderCore,thundercore.com,ThunderCore is a blockchain platform that combines high performance with decentralized trust.,Internet Software & Services,Taiwan,50.00,Chris Wang (Founder),"Arrington XRP Capital, Electric Capital, FBG Capital, Hashed, Huobi Ventures, Kenetic Capital, MetaStable Capital, Pantera Capital, SV Angel, ZhenFund, Metropolis VC",,,Blockchain,,Alive / Active,375367,443427,,Ethereum,,,Asia,,Taipei,"11F., No. 70-1, Sec. 1 Chende Rd. Datong Dist.",103,Series A,2019-02-27,50.00,Series A,"Arrington XRP Capital, Electric Capital, FBG Capital, Hashed, Huobi Ventures, Kenetic Capital, MetaStable Capital, Pantera Capital, SV Angel, ZhenFund",,,,,,,,,Internet,Accounting & Finance,,,,Yes
Ledger,ledger.com,"Ledger leverages encrypted chips technology to build security solutions for cryptocurrencies and blockchains. The company builds hardware wallets for consumers, hardware security modules for enterprises and hardware oracles for the IoT world.",Computer Storage & Peripherals,France,466.38,"Eric Larcheveque (Founder), Thomas France (Founder), Olivier Tomaz (Founder), Pascal Gauthier (CEO), Quentin Ricomard (CFO), Charles Guillemet (CTO)","Alain Tingaud Innovations, Fred Potter, Hi-Media, Pascal Gauthier, Thibaut Faurès Fustel de Coulanges, XAnge, BHB Network, CapHorn Invest, Digital Currency Group, GDTRE, Kima Ventures, Libertus Capital, MAIF Avenir, Nicolas Pinto, The Whittemore Collection, Wicklow Capital, Cathay Innovation, FirstMark Capital, Korelya Capital, Molten Ventures, IFA Next, Samsung Ventures, Accelerateur Allianz, 10T Fund, Alliance Entreprendre, Animoca Brands, Caisse d’Epargne, Cardinal Capital Group, Cite Gestion, Credit Agricole, Crypto.com Capital, Draper Associates, Draper Dragon, Fabric Ventures, Felix Capital, Financiere Agache, Global Founders Capital, Inherent Group, Marcy Venture Partners, Rosemoor Capital, Scott Galloway, Tekne Capital Management, The Maze Group, Uphold Ventures, Warburg Serres Investments, iAngels",,,"Unicorns- Billion Dollar Startups, Blockchain, Fintech 250, Fintech, Blockchain 50",Digital Asset Custody (Emerging Tech),Alive / Active,228517,38168,2014,"Airwallex, Ant Group, BitGo, BitPesa, Circle, Coins.ph, CoolBitX, Copper.co, Cypherock, eSignus, Fireblocks, Gemini, Hex Trust, Lianlian Pay, MobiKwik, MoMo, One97 Communications, Paga, Paytm Payments Bank, Ripple, Tangem, Taurus, Toss, Xapo, ZEPZ, Zoona",,,Europe,,Paris,1 rue du Mail,75002,Series C,2021-06-10,380.00,Series C,"10T Fund, Alliance Entreprendre, Animoca Brands, Caisse d’Epargne, CapHorn Invest, Cardinal Capital Group, Cathay Innovation, Cite Gestion, Credit Agricole, Crypto.com Capital, Digital Currency Group, Draper Associates, Draper Dragon, Fabric Ventures, Felix Capital, Financiere Agache, FirstMark Capital, Global Founders Capital, Inherent Group, Korelya Capital, Libertus Capital, Marcy Venture Partners, Molten Ventures, Rosemoor Capital, Scott Galloway, Tekne Capital Management, The Maze Group, Uphold Ventures, Warburg Serres Investments, Wicklow Capital, iAngels",,,,,,,,,Computer Hardware & Services,Personal Storage Drives,,,,Yes
Aptos,aptoslabs.com,"Aptos is an independent project focused on delivering a safe and production-ready blockchain. The company was founded in 2021 and is based in Palo Alto, California.",Internet Software & Services,United States,350.00,"Mohammad Shaikh (Founder), Avery Ching (CTO)","Andreessen Horowitz, Binance Labs, BlockTower Capital, Coinbase Ventures, FTX Ventures, Hashed, Irongrey, Katie Haun, Multicoin Capital, ParaFi Capital, Paxos, PayPal Ventures, Silvergate, Three Arrows Capital, Tiger Global Management, Variant Fund, Circle Ventures, Franklin Templeton, Griffin Gaming Partners, Jump Crypto, Superscrypt",,,"Unicorns- Billion Dollar Startups, Blockchain",,Alive / Active,722915,843895,2021,,,,North America,California,Palo Alto,745 Emerson Street,94301,Unattributed VC,2022-09-15,,Venture Capital,Binance Labs,,,,,,,,,Internet,Data Storage,,,,Yes
Immutable,immutable.com,Immutable offers blockchain services and developed decentralized games called Etherbots and Gods Unchained.,Internet Software & Services,Australia,272.64,"Alex Connolly (Founder), James Ferguson (CEO), Robbie Ferguson (President), Gillian Findlay (COO), Katherine Rau (Chief People Officer), Jason Suen (SVP)","Coinbase, Continue Capital, Nirvana Capital, Sora Ventures, APEX Capital Partners, Galaxy Digital, Naspers, AirTree Ventures, Alameda Research, Apex Capital, BITKRAFT Esports Ventures, Fabric Ventures, Galaxy Interactive, King River Capital, Prosus Ventures, Reinventure, Vaynerfund, Alameda Research Ventures, Animoca Brands, Arrington XRP Capital, Declaration Partners, Liberty Global Ventures, Mirae Asset Financial Group, ParaFi Capital, Possible Ventures, Princeville Global, Temasek, Tencent Holdings",,,"Unicorns- Billion Dollar Startups, Blockchain, Gaming",,Alive / Active,332982,93391,2018,"Polygon, xDai",,,Australia,New South Wales,Sydney,Surry Hills,,Series C,2022-03-07,200.00,Series C,"AirTree Ventures, Alameda Research Ventures, Animoca Brands, Arrington XRP Capital, Declaration Partners, Fabric Ventures, King River Capital, Liberty Global Ventures, Mirae Asset Financial Group, ParaFi Capital, Possible Ventures, Princeville Global, Prosus Ventures, Temasek, Tencent Holdings",,,,,,,,,Internet,Gaming,,,,Yes
2TM,2tmgroup.com,"2TM is a FMITech, that creates an infrastructure to the financial market based on technology blockchain. The company was founded in 2013 and is based in Sao Paulo, Brazil.",Internet Software & Services,Brazil,250.30,"Jean-Michel Trayaud (Founder), Gustavo Chamati (Founder), Roberto Dagnoni (CEO), Gustavo Zeno (CFO), Mynul Hoda (EVP), Ivan Perez (Senior Director)","SoftBank Group, 10T Fund, Endeavor, PIPO Capital, TC, Tribe Capital, Evora and Genial, GP Investments, Gear Ventures, HS Investments, Parallax Ventures, Mercado Livre",,,"Blockchain, Wealth Tech, Fintech",,Alive / Active,685764,795390,2013,Coinbase,"Wuzu, Mercado Bitcoin, CriptoLoja",,South America,,Sao Paulo,"R. Fidêncio Ramos, 302 - 8º andar, cj. 81 - Vila Olímpia",04551-010,Corporate Minority,2022-01-20,,Corporate Minority,Mercado Livre,,,,,,,,,Internet,Asset & Financial Management & Trading,,,Coinbase,Yes
Matter Labs,matter-labs.io,"Matter Labs is building secure, scalable, programmable, privacy-preserving blockchain infrastructure.",Security Software,United States,52.00,"Alex Gluchowski (CEO), Zoé Gadsden (COO), Tyler Perk (Chief Marketing Officer)","1kx, Dekrypt, Dragonfly, Alchemy Capital, Andreessen Horowitz, Blockchain.com Ventures, Bybit, ConsenSys Mesh, Covalent Capital, Crypto.com Capital, Ferrum Network, OK Blockchain Capital, Placeholder Capital, Union Square Ventures",,,Blockchain,,Alive / Active,407254,486141,2019,,,,North America,New York,New York,,10003,Series B,2021-11-08,50.00,Series B,"1kx, Alchemy Capital, Andreessen Horowitz, Blockchain.com Ventures, Bybit, ConsenSys Mesh, Covalent Capital, Crypto.com Capital, Dragonfly, Ferrum Network, OK Blockchain Capital, Placeholder Capital, Undisclosed Angel Investors",,,,,,,,,Software (non-internet/mobile),,,,,Yes
Bakkt,bakkt.com,"Bakkt (NASDAQ: BKKT) is designed to enable consumers and institutions to buy, sell, store and spend digital assets. Bakkt develops open technology to connect existing market and merchant infrastructure to the blockchain.",Internet Software & Services,United States,482.50,"Gavin Michael (CEO), Doug Hadaway (CFO), Drew LaBenne (CFO), Matthew Johnson (CTO), Nicolas Cabrera (Chief Product Officer)","Alan Howard, CMT Digital, Eagle Seven, Galaxy Digital, Goldfinch, Horizons Ventures, Intercontinental Exchange, M12, Pantera Capital, PayU, Protocol Ventures, The Boston Consulting Group, Goldfinch Partners, VPC Impact Acquisition",,,"Blockchain, Wealth Tech, Loyalty & Rewards Tech, Fintech, Conference Exhibitors, Blockchain 50",,IPO / Went public,365714,430480,2018,"Arcnet, Award Pool, BetaBlocks, BitMEX, Bitski, Coinbase, ecoo, Engage People, ErisX, Exclusible, Gatsby, GoSats, Ioconic, Lambda 256, LedgerX, Lolli, Loyyal, Momento, NFT Brands, Novel, Paxos, Permission.io, qiibee, RECUR, Socialstack, StormX, TAP Network, Venly, Vividlabs","Bridge2 Solutions, Rosenthal Collins Group, Digital Asset Custody Company",,North America,Georgia,Atlanta,5660 New Northside Dr,30328,Series B,2020-03-13,300.00,Series B,"CMT Digital, Goldfinch Partners, Intercontinental Exchange, M12, Pantera Capital, PayU, The Boston Consulting Group",,,,,,,,,Internet,Asset & Financial Management & Trading,Reverse Merger,2021-10-15,VPC Impact Acquisition,Yes
Mythical Games,mythicalgames.com,"Mythical Games is a video game developer of a line of PC, mobile and console games on the EOSIO blockchain, which allows developers to build games with player-owned economies.",Internet Software & Services,United States,260.00,"John Linden (CEO), Jeff Poffenbarger (EVP), Rudy Koch (SVP)","Divergence Digital Currency, FinLab EOS VC, Galaxy Digital, Javelin Venture Partners, OKCoin International, A100x, Alumni Ventures, Avon Ventures, Hashed, Noris Capital, Struck Capital, 01 Advisors, WestCap Group, 32 Equity, Andreessen Horowitz, Binance Labs, Com2uS, Curtis Polk, D1 Capital Partners, FTX, Galaxy Interactive, Jonathan Kraft, MANTIS Venture Capital, Michael Gordon, Michael Jordan, OneTeam Partners, RedBird Capital Partners, Ryan Tedder, Signum Growth Capital, The Kraft Group, The Raine Group",,,"Unicorns- Billion Dollar Startups, Blockchain, Gaming, Blockchain 50, Metaverse",,Alive / Active,359883,422677,2018,,"PolyStream, Shortround Games",,North America,California,Sherman Oaks,15260 Ventura Boulevard Suite 1410,91403,Series C,2021-11-04,150.00,Series C,"01 Advisors, 32 Equity, Alumni Ventures, Andreessen Horowitz, Binance Labs, Com2uS, Curtis Polk, D1 Capital Partners, FTX, Galaxy Interactive, Javelin Venture Partners, Jonathan Kraft, MANTIS Venture Capital, Michael Gordon, Michael Jordan, OneTeam Partners, RedBird Capital Partners, Ryan Tedder, Signum Growth Capital, Struck Capital, The Kraft Group, The Raine Group, WestCap Group",,,,,,,,,Internet,Gaming,,,,Yes
FanCraze,fancraze.com,"FanCraze allows users to buy, sell, and trade officially-licensed digital cricket collectibles with a global community of fans. Faze also has a partnership with the International Cricket Council (ICC) to launch a cricket non-fungible token (NFT) marketplace on the Flow blockchain.",Internet Software & Services,United States,117.40,"Anshum Bhambri (Founder), Kushagra Kohli (Founder)","Coatue Management, Courtside Ventures, Dapper Labs, Samsung NEXT, Sequoia Capital India, Tiger Global Management, Vivek Ranadive, B Capital Group, Cristiano Ronaldo, Insight Partners, Mirae Asset Venture Investment",,,Blockchain,,Alive / Active,688433,802747,2021,,,,North America,California,San Francisco,,,Series A,2022-03-18,100.00,Series A,"B Capital Group, Coatue Management, Courtside Ventures, Cristiano Ronaldo, Insight Partners, Mirae Asset Venture Investment, Sequoia Capital India, Tiger Global Management",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Figment,figment.io,"Figment is a Canadian-based blockchain infrastructure and crypto staking provider. Figment develops back-end systems and infrastructure that provide yield on tokens for PoS blockchains. The company offers staking, middleware and application layer solutions for investors and developers investing in and building on Web 3. The company was founded in 2018 and is based in Toronto, Ontario.",Internet Software & Services,Canada,163.84,"Lorien Gabel (CEO), Graham Smith (CFO), Matt Harrop (CTO), Andrew Cronk (Chief Product Officer), Ryan Funduk (Chief Architect)","Bonfire Ventures, FJ Labs, XDL Capital, Web3 Foundation, BKCM, Anchorage Digital, Declaration Partners, Galaxy Digital, Liberty City Ventures, Senator Investment Group, Avon Ventures, B Capital Group, Binance Labs, Bitstamp, CMS Holding, DTCP, FMR, Franklin Templeton, Mirae Asset Venture Investment, Morgan Stanley, ParaFi Capital, StarkWare, Thoma Bravo, Two Sigma Ventures",,,"Unicorns- Billion Dollar Startups, Regtech, Blockchain, Blockchain 50",,Alive / Active,379291,448685,2018,"Bison Trails, Blockdaemon, Cardano Foundation, Chorus One, Edgevana, GenesysGo, HashQuark, Infura, QuikNode, Solana Labs, Staked, Stratx Consulting",,,North America,Ontario,Toronto,,M6R 1H2,Series C,2021-12-20,110.00,Series C,"Avon Ventures, B Capital Group, Binance Labs, Bitstamp, CMS Holding, DTCP, FMR, Franklin Templeton, Mirae Asset Venture Investment, Morgan Stanley, ParaFi Capital, StarkWare, Thoma Bravo, Two Sigma Ventures",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Paxos,paxos.com,"Paxos, parent company of the bitcoin trading service itBit, is a financial technology company delivering blockchain solutions for global financial institutions. Its flagship product is Bankchain, a next-generation platform-as-a-service (PaaS) blockchain settlement solution that is transforming post-trade across capital markets. Bankchain delivers instantaneous settlement and greater automation, offering market participants reduced counterparty risk, lower capital requirements and increased operational efficiencies.",Internet Software & Services,United States,535.25,"Charles Cascarilla (CEO), Rich Teo (CEO), Terrence Schmid (CFO), Kevin Lupowitz (Senior Director)","Ben Davenport, Canaan Partners, Digital Currency Group, Jay W. Jordan II, Liberty City Ventures, RRE Ventures, Gaurav Burman, Blockchain Capital, James Pallotta, Alua Capital, Declaration Partners, Ken Moelis, Mithril Capital Management, PayPal Ventures, RIT Capital Partners, Senator Investment Group, Oak HC/FT Partners, WestCap Group, Fantail Ventures, MercadoLibre",,,"Unicorns- Billion Dollar Startups, Blockchain, Capital Markets Tech, Fintech 250, Fintech, Blockchain 50","Stablecoin Settlement & Payouts (Financial Services), Digital Asset Custody (Emerging Tech)",Alive / Active,97975,19093,2012,"Bakkt, Binance, Bitso, Blockstream, Bosonic, Coinbase, Everest, HiChina Web Solutions, HitBTC, KuCoin, Localbitcoins, Polo Digital Assets, SFOX, STACS, Tassat",,,North America,New York,New York,450 Lexington Ave Suite 3952,10163,Corporate Minority,2022-01-20,,Corporate Minority,MercadoLibre,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
